"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Marshall County, IL","17123",Suppressed,30626,Suppressed,Suppressed,Suppressed
,"Montgomery County, IL","17135",Suppressed,82524,Suppressed,Suppressed,Suppressed
,"Ogle County, IL","17141",Suppressed,147280,Suppressed,Suppressed,Suppressed
,"Peoria County, IL","17143",Suppressed,552758,Suppressed,Suppressed,Suppressed
,"Randolph County, IL","17157",Suppressed,93726,Suppressed,Suppressed,Suppressed
,"Rock Island County, IL","17161",Suppressed,423488,Suppressed,Suppressed,Suppressed
,"St. Clair County, IL","17163",Suppressed,788407,Suppressed,Suppressed,Suppressed
,"Sangamon County, IL","17167",Suppressed,584478,Suppressed,Suppressed,Suppressed
,"Tazewell County, IL","17179",Suppressed,390212,Suppressed,Suppressed,Suppressed
,"Vermilion County, IL","17183",Suppressed,212102,Suppressed,Suppressed,Suppressed
,"Wayne County, IL","17191",Suppressed,43941,Suppressed,Suppressed,Suppressed
,"White County, IL","17193",Suppressed,36839,Suppressed,Suppressed,Suppressed
,"Will County, IL","17197",Suppressed,2263729,Suppressed,Suppressed,Suppressed
,"Winnebago County, IL","17201",Suppressed,846960,Suppressed,Suppressed,Suppressed
,"Adams County, IN","18001",Suppressed,103360,Suppressed,Suppressed,Suppressed
,"Allen County, IN","18003",Suppressed,1246211,Suppressed,Suppressed,Suppressed
,"Blackford County, IN","18009",Suppressed,32810,Suppressed,Suppressed,Suppressed
,"Boone County, IN","18011",Suppressed,229133,Suppressed,Suppressed,Suppressed
,"Cass County, IN","18017",Suppressed,111675,Suppressed,Suppressed,Suppressed
,"Clark County, IN","18019",Suppressed,388329,Suppressed,Suppressed,Suppressed
,"Clay County, IN","18021",Suppressed,77331,Suppressed,Suppressed,Suppressed
,"Clinton County, IN","18023",Suppressed,98396,Suppressed,Suppressed,Suppressed
,"Crawford County, IN","18025",Suppressed,28727,Suppressed,Suppressed,Suppressed
,"Daviess County, IN","18027",Suppressed,99777,Suppressed,Suppressed,Suppressed
,"Dearborn County, IN","18029",Suppressed,147253,Suppressed,Suppressed,Suppressed
,"De Kalb County, IN","18033",Suppressed,132538,Suppressed,Suppressed,Suppressed
,"Delaware County, IN","18035",Suppressed,395767,Suppressed,Suppressed,Suppressed
,"Elkhart County, IN","18039",Suppressed,645019,Suppressed,Suppressed,Suppressed
,"Floyd County, IN","18043",Suppressed,247190,Suppressed,Suppressed,Suppressed
,"Fountain County, IN","18045",Suppressed,46734,Suppressed,Suppressed,Suppressed
,"Gibson County, IN","18051",Suppressed,98767,Suppressed,Suppressed,Suppressed
,"Grant County, IN","18053",Suppressed,201267,Suppressed,Suppressed,Suppressed
,"Greene County, IN","18055",Suppressed,89573,Suppressed,Suppressed,Suppressed
,"Hamilton County, IN","18057",Suppressed,1159423,Suppressed,Suppressed,Suppressed
,"Hancock County, IN","18059",Suppressed,251925,Suppressed,Suppressed,Suppressed
,"Harrison County, IN","18061",Suppressed,116788,Suppressed,Suppressed,Suppressed
,"Hendricks County, IN","18063",Suppressed,583289,Suppressed,Suppressed,Suppressed
,"Howard County, IN","18067",Suppressed,242803,Suppressed,Suppressed,Suppressed
,"Jay County, IN","18075",Suppressed,57597,Suppressed,Suppressed,Suppressed
,"Johnson County, IN","18081",Suppressed,528955,Suppressed,Suppressed,Suppressed
,"Knox County, IN","18083",Suppressed,113042,Suppressed,Suppressed,Suppressed
,"Kosciusko County, IN","18085",Suppressed,242155,Suppressed,Suppressed,Suppressed
,"Lagrange County, IN","18087",Suppressed,121647,Suppressed,Suppressed,Suppressed
,"Lake County, IN","18089",14,1525163,0.9,0.5,1.5
,"La Porte County, IN","18091",Suppressed,336057,Suppressed,Suppressed,Suppressed
,"Lawrence County, IN","18093",Suppressed,130375,Suppressed,Suppressed,Suppressed
,"Madison County, IN","18095",Suppressed,403894,Suppressed,Suppressed,Suppressed
,"Marion County, IN","18097",30,3320297,0.9,0.6,1.3
,"Marshall County, IN","18099",Suppressed,135249,Suppressed,Suppressed,Suppressed
,"Miami County, IN","18103",Suppressed,112461,Suppressed,Suppressed,Suppressed
,"Monroe County, IN","18105",Suppressed,583403,Suppressed,Suppressed,Suppressed
,"Montgomery County, IN","18107",Suppressed,113633,Suppressed,Suppressed,Suppressed
,"Newton County, IN","18111",Suppressed,39717,Suppressed,Suppressed,Suppressed
,"Noble County, IN","18113",Suppressed,142999,Suppressed,Suppressed,Suppressed
,"Orange County, IN","18117",Suppressed,55170,Suppressed,Suppressed,Suppressed
,"Owen County, IN","18119",Suppressed,58777,Suppressed,Suppressed,Suppressed
,"Parke County, IN","18121",Suppressed,47901,Suppressed,Suppressed,Suppressed
,"Pike County, IN","18125",Suppressed,34019,Suppressed,Suppressed,Suppressed
,"Porter County, IN","18127",Suppressed,543801,Suppressed,Suppressed,Suppressed
,"Randolph County, IN","18135",Suppressed,69064,Suppressed,Suppressed,Suppressed
,"Ripley County, IN","18137",Suppressed,84209,Suppressed,Suppressed,Suppressed
,"St. Joseph County, IN","18141",Suppressed,883652,Suppressed,Suppressed,Suppressed
,"Shelby County, IN","18145",Suppressed,132785,Suppressed,Suppressed,Suppressed
,"Spencer County, IN","18147",Suppressed,56208,Suppressed,Suppressed,Suppressed
,"Starke County, IN","18149",Suppressed,65902,Suppressed,Suppressed,Suppressed
,"Steuben County, IN","18151",Suppressed,98266,Suppressed,Suppressed,Suppressed
,"Sullivan County, IN","18153",Suppressed,66780,Suppressed,Suppressed,Suppressed
,"Tippecanoe County, IN","18157",Suppressed,763724,Suppressed,Suppressed,Suppressed
,"Union County, IN","18161",Suppressed,19817,Suppressed,Suppressed,Suppressed
,"Vanderburgh County, IN","18163",Suppressed,572604,Suppressed,Suppressed,Suppressed
,"Vermillion County, IN","18165",Suppressed,44802,Suppressed,Suppressed,Suppressed
,"Vigo County, IN","18167",Suppressed,362802,Suppressed,Suppressed,Suppressed
,"Warrick County, IN","18173",Suppressed,193770,Suppressed,Suppressed,Suppressed
,"Washington County, IN","18175",Suppressed,82933,Suppressed,Suppressed,Suppressed
,"White County, IN","18181",Suppressed,67658,Suppressed,Suppressed,Suppressed
,"Black Hawk County, IA","19013",Suppressed,438019,Suppressed,Suppressed,Suppressed
,"Buena Vista County, IA","19021",Suppressed,62737,Suppressed,Suppressed,Suppressed
,"Calhoun County, IA","19025",Suppressed,26737,Suppressed,Suppressed,Suppressed
,"Cedar County, IA","19031",Suppressed,52174,Suppressed,Suppressed,Suppressed
,"Cherokee County, IA","19035",Suppressed,29394,Suppressed,Suppressed,Suppressed
,"Clinton County, IA","19045",Suppressed,129591,Suppressed,Suppressed,Suppressed
,"Dallas County, IA","19049",Suppressed,351012,Suppressed,Suppressed,Suppressed
,"Davis County, IA","19051",Suppressed,25065,Suppressed,Suppressed,Suppressed
,"Des Moines County, IA","19057",Suppressed,109052,Suppressed,Suppressed,Suppressed
,"Dubuque County, IA","19061",Suppressed,298103,Suppressed,Suppressed,Suppressed
,"Floyd County, IA","19067",Suppressed,41583,Suppressed,Suppressed,Suppressed
,"Jackson County, IA","19097",Suppressed,51238,Suppressed,Suppressed,Suppressed
,"Jasper County, IA","19099",Suppressed,111495,Suppressed,Suppressed,Suppressed
,"Johnson County, IA","19103",Suppressed,610306,Suppressed,Suppressed,Suppressed
,"Lee County, IA","19111",Suppressed,92864,Suppressed,Suppressed,Suppressed
,"Linn County, IA","19113",Suppressed,730489,Suppressed,Suppressed,Suppressed
,"Lyon County, IA","19119",Suppressed,34755,Suppressed,Suppressed,Suppressed
,"Marshall County, IA","19127",Suppressed,117830,Suppressed,Suppressed,Suppressed
,"Monona County, IA","19133",Suppressed,22303,Suppressed,Suppressed,Suppressed
,"Montgomery County, IA","19137",Suppressed,27265,Suppressed,Suppressed,Suppressed
,"Page County, IA","19145",Suppressed,44578,Suppressed,Suppressed,Suppressed
,"Polk County, IA","19153",Suppressed,1686181,Suppressed,Suppressed,Suppressed
,"Pottawattamie County, IA","19155",Suppressed,279252,Suppressed,Suppressed,Suppressed
,"Scott County, IA","19163",Suppressed,542866,Suppressed,Suppressed,Suppressed
,"Sioux County, IA","19167",Suppressed,112891,Suppressed,Suppressed,Suppressed
,"Story County, IA","19169",Suppressed,418943,Suppressed,Suppressed,Suppressed
,"Wapello County, IA","19179",Suppressed,106834,Suppressed,Suppressed,Suppressed
,"Webster County, IA","19187",Suppressed,112814,Suppressed,Suppressed,Suppressed
,"Woodbury County, IA","19193",Suppressed,334906,Suppressed,Suppressed,Suppressed
,"Brown County, KS","20013",Suppressed,25037,Suppressed,Suppressed,Suppressed
,"Cheyenne County, KS","20023",Suppressed,6593,Suppressed,Suppressed,Suppressed
,"Cowley County, KS","20035",Suppressed,105096,Suppressed,Suppressed,Suppressed
,"Crawford County, KS","20037",Suppressed,134864,Suppressed,Suppressed,Suppressed
,"Ellis County, KS","20051",Suppressed,102322,Suppressed,Suppressed,Suppressed
,"Finney County, KS","20055",Suppressed,123366,Suppressed,Suppressed,Suppressed
,"Geary County, KS","20061",Suppressed,130167,Suppressed,Suppressed,Suppressed
,"Johnson County, KS","20091",Suppressed,1997401,Suppressed,Suppressed,Suppressed
,"Kingman County, KS","20095",Suppressed,19612,Suppressed,Suppressed,Suppressed
,"Leavenworth County, KS","20103",Suppressed,267701,Suppressed,Suppressed,Suppressed
,"Lyon County, KS","20111",Suppressed,112483,Suppressed,Suppressed,Suppressed
,"McPherson County, KS","20113",Suppressed,88406,Suppressed,Suppressed,Suppressed
,"Marion County, KS","20115",Suppressed,32090,Suppressed,Suppressed,Suppressed
,"Morton County, KS","20129",Suppressed,7054,Suppressed,Suppressed,Suppressed
,"Osage County, KS","20139",Suppressed,43428,Suppressed,Suppressed,Suppressed
,"Reno County, KS","20155",Suppressed,184896,Suppressed,Suppressed,Suppressed
,"Sedgwick County, KS","20173",Suppressed,1690318,Suppressed,Suppressed,Suppressed
,"Seward County, KS","20175",Suppressed,71396,Suppressed,Suppressed,Suppressed
,"Shawnee County, KS","20177",Suppressed,532044,Suppressed,Suppressed,Suppressed
,"Thomas County, KS","20193",Suppressed,24489,Suppressed,Suppressed,Suppressed
,"Wyandotte County, KS","20209",Suppressed,547662,Suppressed,Suppressed,Suppressed
,"Allen County, KY","21003",Suppressed,63280,Suppressed,Suppressed,Suppressed
,"Barren County, KY","21009",Suppressed,131880,Suppressed,Suppressed,Suppressed
,"Bath County, KY","21011",Suppressed,36838,Suppressed,Suppressed,Suppressed
,"Bell County, KY","21013",Suppressed,71937,Suppressed,Suppressed,Suppressed
,"Boone County, KY","21015",Suppressed,436488,Suppressed,Suppressed,Suppressed
,"Bourbon County, KY","21017",Suppressed,57519,Suppressed,Suppressed,Suppressed
,"Boyle County, KY","21021",Suppressed,96780,Suppressed,Suppressed,Suppressed
,"Bracken County, KY","21023",Suppressed,24260,Suppressed,Suppressed,Suppressed
,"Breathitt County, KY","21025",Suppressed,38203,Suppressed,Suppressed,Suppressed
,"Breckinridge County, KY","21027",Suppressed,57999,Suppressed,Suppressed,Suppressed
,"Bullitt County, KY","21029",Suppressed,258723,Suppressed,Suppressed,Suppressed
,"Caldwell County, KY","21033",Suppressed,35471,Suppressed,Suppressed,Suppressed
,"Calloway County, KY","21035",Suppressed,135678,Suppressed,Suppressed,Suppressed
,"Campbell County, KY","21037",Suppressed,300860,Suppressed,Suppressed,Suppressed
,"Christian County, KY","21047",Suppressed,252989,Suppressed,Suppressed,Suppressed
,"Clark County, KY","21049",Suppressed,110116,Suppressed,Suppressed,Suppressed
,"Cumberland County, KY","21057",Suppressed,16188,Suppressed,Suppressed,Suppressed
,"Daviess County, KY","21059",Suppressed,310368,Suppressed,Suppressed,Suppressed
,"Fayette County, KY","21067",Suppressed,1163253,Suppressed,Suppressed,Suppressed
,"Fleming County, KY","21069",Suppressed,43532,Suppressed,Suppressed,Suppressed
,"Floyd County, KY","21071",Suppressed,102390,Suppressed,Suppressed,Suppressed
,"Franklin County, KY","21073",Suppressed,159365,Suppressed,Suppressed,Suppressed
,"Graves County, KY","21083",Suppressed,106109,Suppressed,Suppressed,Suppressed
,"Grayson County, KY","21085",Suppressed,78464,Suppressed,Suppressed,Suppressed
,"Hardin County, KY","21093",Suppressed,359152,Suppressed,Suppressed,Suppressed
,"Harlan County, KY","21095",Suppressed,73262,Suppressed,Suppressed,Suppressed
,"Harrison County, KY","21097",Suppressed,55186,Suppressed,Suppressed,Suppressed
,"Henderson County, KY","21101",Suppressed,131550,Suppressed,Suppressed,Suppressed
,"Hopkins County, KY","21107",Suppressed,132274,Suppressed,Suppressed,Suppressed
,"Jefferson County, KY","21111",23,2478424,0.9,0.6,1.4
,"Jessamine County, KY","21113",Suppressed,172032,Suppressed,Suppressed,Suppressed
,"Johnson County, KY","21115",Suppressed,65461,Suppressed,Suppressed,Suppressed
,"Kenton County, KY","21117",Suppressed,546528,Suppressed,Suppressed,Suppressed
,"Knott County, KY","21119",Suppressed,41204,Suppressed,Suppressed,Suppressed
,"Lawrence County, KY","21127",Suppressed,45247,Suppressed,Suppressed,Suppressed
,"Letcher County, KY","21133",Suppressed,58904,Suppressed,Suppressed,Suppressed
,"Lincoln County, KY","21137",Suppressed,70167,Suppressed,Suppressed,Suppressed
,"Logan County, KY","21141",Suppressed,80001,Suppressed,Suppressed,Suppressed
,"McCracken County, KY","21145",Suppressed,194678,Suppressed,Suppressed,Suppressed
,"McCreary County, KY","21147",Suppressed,55733,Suppressed,Suppressed,Suppressed
,"Madison County, KY","21151",Suppressed,339603,Suppressed,Suppressed,Suppressed
,"Magoffin County, KY","21153",Suppressed,33532,Suppressed,Suppressed,Suppressed
,"Marshall County, KY","21157",Suppressed,86801,Suppressed,Suppressed,Suppressed
,"Martin County, KY","21159",Suppressed,36590,Suppressed,Suppressed,Suppressed
,"Mason County, KY","21161",Suppressed,48826,Suppressed,Suppressed,Suppressed
,"Meade County, KY","21163",Suppressed,94663,Suppressed,Suppressed,Suppressed
,"Mercer County, KY","21167",Suppressed,64012,Suppressed,Suppressed,Suppressed
,"Monroe County, KY","21171",Suppressed,31001,Suppressed,Suppressed,Suppressed
,"Nelson County, KY","21179",Suppressed,142738,Suppressed,Suppressed,Suppressed
,"Ohio County, KY","21183",Suppressed,70902,Suppressed,Suppressed,Suppressed
,"Owen County, KY","21187",Suppressed,32298,Suppressed,Suppressed,Suppressed
,"Perry County, KY","21193",Suppressed,77959,Suppressed,Suppressed,Suppressed
,"Russell County, KY","21207",Suppressed,49453,Suppressed,Suppressed,Suppressed
,"Shelby County, KY","21211",Suppressed,153287,Suppressed,Suppressed,Suppressed
,"Trigg County, KY","21221",Suppressed,37531,Suppressed,Suppressed,Suppressed
,"Trimble County, KY","21223",Suppressed,24628,Suppressed,Suppressed,Suppressed
,"Warren County, KY","21227",Suppressed,492440,Suppressed,Suppressed,Suppressed
,"Whitley County, KY","21235",Suppressed,114509,Suppressed,Suppressed,Suppressed
,"Wolfe County, KY","21237",Suppressed,19007,Suppressed,Suppressed,Suppressed
,"Acadia Parish, LA","22001",Suppressed,179593,Suppressed,Suppressed,Suppressed
,"Allen Parish, LA","22003",Suppressed,80128,Suppressed,Suppressed,Suppressed
,"Ascension Parish, LA","22005",Suppressed,425801,Suppressed,Suppressed,Suppressed
,"Assumption Parish, LA","22007",Suppressed,61448,Suppressed,Suppressed,Suppressed
,"Beauregard Parish, LA","22011",Suppressed,115675,Suppressed,Suppressed,Suppressed
,"Bossier Parish, LA","22015",Suppressed,423679,Suppressed,Suppressed,Suppressed
,"Caddo Parish, LA","22017",15,710666,2.1,1.2,3.5
,"Calcasieu Parish, LA","22019",Suppressed,644597,Suppressed,Suppressed,Suppressed
,"Claiborne Parish, LA","22027",Suppressed,44983,Suppressed,Suppressed,Suppressed
,"East Baton Rouge Parish, LA","22033",16,1543054,1.0,0.6,1.7
,"East Feliciana Parish, LA","22037",Suppressed,58630,Suppressed,Suppressed,Suppressed
,"Evangeline Parish, LA","22039",Suppressed,101745,Suppressed,Suppressed,Suppressed
,"Grant Parish, LA","22043",Suppressed,76225,Suppressed,Suppressed,Suppressed
,"Iberia Parish, LA","22045",Suppressed,207006,Suppressed,Suppressed,Suppressed
,"Iberville Parish, LA","22047",Suppressed,99547,Suppressed,Suppressed,Suppressed
,"Jackson Parish, LA","22049",Suppressed,45172,Suppressed,Suppressed,Suppressed
,"Jefferson Parish, LA","22051",12,1304260,0.9,0.5,1.6
,"Jefferson Davis Parish, LA","22053",Suppressed,95172,Suppressed,Suppressed,Suppressed
,"Lafayette Parish, LA","22055",11,824887,1.3,0.7,2.4
,"Lafourche Parish, LA","22057",Suppressed,300551,Suppressed,Suppressed,Suppressed
,"LaSalle Parish, LA","22059",Suppressed,49339,Suppressed,Suppressed,Suppressed
,"Lincoln Parish, LA","22061",Suppressed,184291,Suppressed,Suppressed,Suppressed
,"Livingston Parish, LA","22063",Suppressed,483160,Suppressed,Suppressed,Suppressed
,"Morehouse Parish, LA","22067",Suppressed,70660,Suppressed,Suppressed,Suppressed
,"Natchitoches Parish, LA","22069",Suppressed,124294,Suppressed,Suppressed,Suppressed
,"Orleans Parish, LA","22071",12,1276035,0.9,0.5,1.6
,"Ouachita Parish, LA","22073",Suppressed,502889,Suppressed,Suppressed,Suppressed
,"Plaquemines Parish, LA","22075",Suppressed,73289,Suppressed,Suppressed,Suppressed
,"Rapides Parish, LA","22079",Suppressed,392061,Suppressed,Suppressed,Suppressed
,"Sabine Parish, LA","22085",Suppressed,63761,Suppressed,Suppressed,Suppressed
,"St. Bernard Parish, LA","22087",Suppressed,151595,Suppressed,Suppressed,Suppressed
,"St. Helena Parish, LA","22091",Suppressed,30830,Suppressed,Suppressed,Suppressed
,"St. Landry Parish, LA","22097",Suppressed,241938,Suppressed,Suppressed,Suppressed
,"St. Mary Parish, LA","22101",Suppressed,138251,Suppressed,Suppressed,Suppressed
,"St. Tammany Parish, LA","22103",Suppressed,800479,Suppressed,Suppressed,Suppressed
,"Tangipahoa Parish, LA","22105",Suppressed,444908,Suppressed,Suppressed,Suppressed
,"Terrebonne Parish, LA","22109",Suppressed,334370,Suppressed,Suppressed,Suppressed
,"Union Parish, LA","22111",Suppressed,58952,Suppressed,Suppressed,Suppressed
,"Vermilion Parish, LA","22113",Suppressed,177374,Suppressed,Suppressed,Suppressed
,"Vernon Parish, LA","22115",Suppressed,169729,Suppressed,Suppressed,Suppressed
,"Webster Parish, LA","22119",Suppressed,104941,Suppressed,Suppressed,Suppressed
,"Androscoggin County, ME","23001",Suppressed,337447,Suppressed,Suppressed,Suppressed
,"Cumberland County, ME","23005",Suppressed,945475,Suppressed,Suppressed,Suppressed
,"Kennebec County, ME","23011",Suppressed,362320,Suppressed,Suppressed,Suppressed
,"Oxford County, ME","23017",Suppressed,157649,Suppressed,Suppressed,Suppressed
,"Penobscot County, ME","23019",Suppressed,477280,Suppressed,Suppressed,Suppressed
,"Somerset County, ME","23025",Suppressed,139082,Suppressed,Suppressed,Suppressed
,"York County, ME","23031",Suppressed,610610,Suppressed,Suppressed,Suppressed
,"Allegany County, MD","24001",Suppressed,218372,Suppressed,Suppressed,Suppressed
,"Anne Arundel County, MD","24003",Suppressed,1893709,Suppressed,Suppressed,Suppressed
,"Baltimore County, MD","24005",16,2611845,0.6,0.4,1.0
,"Calvert County, MD","24009",Suppressed,282130,Suppressed,Suppressed,Suppressed
,"Caroline County, MD","24011",Suppressed,99164,Suppressed,Suppressed,Suppressed
,"Carroll County, MD","24013",Suppressed,510373,Suppressed,Suppressed,Suppressed
,"Cecil County, MD","24015",Suppressed,313579,Suppressed,Suppressed,Suppressed
,"Charles County, MD","24017",Suppressed,536073,Suppressed,Suppressed,Suppressed
,"Frederick County, MD","24021",Suppressed,884356,Suppressed,Suppressed,Suppressed
,"Garrett County, MD","24023",Suppressed,77845,Suppressed,Suppressed,Suppressed
,"Harford County, MD","24025",Suppressed,793881,Suppressed,Suppressed,Suppressed
,"Howard County, MD","24027",Suppressed,1061813,Suppressed,Suppressed,Suppressed
,"Kent County, MD","24029",Suppressed,52248,Suppressed,Suppressed,Suppressed
,"Montgomery County, MD","24031",12,3299517,0.4,0.2,0.6
,"Prince George's County, MD","24033",17,3065606,0.6,0.3,0.9
,"St. Mary's County, MD","24037",Suppressed,372369,Suppressed,Suppressed,Suppressed
,"Wicomico County, MD","24045",Suppressed,342419,Suppressed,Suppressed,Suppressed
,"Worcester County, MD","24047",Suppressed,130617,Suppressed,Suppressed,Suppressed
,"Baltimore city, MD","24510",Suppressed,2018847,Suppressed,Suppressed,Suppressed
,"Berkshire County, MA","25003",Suppressed,352204,Suppressed,Suppressed,Suppressed
,"Bristol County, MA","25005",Suppressed,1792506,Suppressed,Suppressed,Suppressed
,"Essex County, MA","25009",11,2461823,0.4,0.2,0.8
,"Franklin County, MA","25011",Suppressed,197247,Suppressed,Suppressed,Suppressed
,"Hampden County, MA","25013",11,1466845,0.7,0.4,1.3
,"Hampshire County, MA","25015",Suppressed,586833,Suppressed,Suppressed,Suppressed
,"Middlesex County, MA","25017",Suppressed,5500540,Suppressed,Suppressed,Suppressed
,"Nantucket County, MA","25019",Suppressed,42149,Suppressed,Suppressed,Suppressed
,"Norfolk County, MA","25021",Suppressed,2266115,Suppressed,Suppressed,Suppressed
,"Plymouth County, MA","25023",Suppressed,1543640,Suppressed,Suppressed,Suppressed
,"Suffolk County, MA","25025",12,3175385,0.4,0.2,0.7
,"Worcester County, MA","25027",Suppressed,2700379,Suppressed,Suppressed,Suppressed
,"Allegan County, MI","26005",Suppressed,354065,Suppressed,Suppressed,Suppressed
,"Barry County, MI","26015",Suppressed,179367,Suppressed,Suppressed,Suppressed
,"Bay County, MI","26017",Suppressed,297304,Suppressed,Suppressed,Suppressed
,"Benzie County, MI","26019",Suppressed,44857,Suppressed,Suppressed,Suppressed
,"Berrien County, MI","26021",Suppressed,438281,Suppressed,Suppressed,Suppressed
,"Calhoun County, MI","26025",Suppressed,404856,Suppressed,Suppressed,Suppressed
,"Cass County, MI","26027",Suppressed,141275,Suppressed,Suppressed,Suppressed
,"Chippewa County, MI","26033",Suppressed,120338,Suppressed,Suppressed,Suppressed
,"Delta County, MI","26041",Suppressed,93776,Suppressed,Suppressed,Suppressed
,"Eaton County, MI","26045",Suppressed,330463,Suppressed,Suppressed,Suppressed
,"Genesee County, MI","26049",Suppressed,1211217,Suppressed,Suppressed,Suppressed
,"Houghton County, MI","26061",Suppressed,128066,Suppressed,Suppressed,Suppressed
,"Ingham County, MI","26065",Suppressed,1076552,Suppressed,Suppressed,Suppressed
,"Iosco County, MI","26069",Suppressed,56758,Suppressed,Suppressed,Suppressed
,"Jackson County, MI","26075",Suppressed,480524,Suppressed,Suppressed,Suppressed
,"Kalamazoo County, MI","26077",Suppressed,921050,Suppressed,Suppressed,Suppressed
,"Kalkaska County, MI","26079",Suppressed,50598,Suppressed,Suppressed,Suppressed
,"Kent County, MI","26081",Suppressed,2220359,Suppressed,Suppressed,Suppressed
,"Lapeer County, MI","26087",Suppressed,250314,Suppressed,Suppressed,Suppressed
,"Lenawee County, MI","26091",Suppressed,292528,Suppressed,Suppressed,Suppressed
,"Livingston County, MI","26093",Suppressed,558003,Suppressed,Suppressed,Suppressed
,"Macomb County, MI","26099",13,2692011,0.5,0.3,0.8
,"Manistee County, MI","26101",Suppressed,64636,Suppressed,Suppressed,Suppressed
,"Mecosta County, MI","26107",Suppressed,134691,Suppressed,Suppressed,Suppressed
,"Midland County, MI","26111",Suppressed,248695,Suppressed,Suppressed,Suppressed
,"Monroe County, MI","26115",Suppressed,447293,Suppressed,Suppressed,Suppressed
,"Muskegon County, MI","26121",Suppressed,534202,Suppressed,Suppressed,Suppressed
,"Oakland County, MI","26125",Suppressed,3939287,Suppressed,Suppressed,Suppressed
,"Oceana County, MI","26127",Suppressed,72881,Suppressed,Suppressed,Suppressed
,"Ottawa County, MI","26139",Suppressed,984547,Suppressed,Suppressed,Suppressed
,"Roscommon County, MI","26143",Suppressed,48573,Suppressed,Suppressed,Suppressed
,"Saginaw County, MI","26145",Suppressed,563111,Suppressed,Suppressed,Suppressed
,"St. Clair County, MI","26147",Suppressed,453134,Suppressed,Suppressed,Suppressed
,"St. Joseph County, MI","26149",Suppressed,177500,Suppressed,Suppressed,Suppressed
,"Sanilac County, MI","26151",Suppressed,108342,Suppressed,Suppressed,Suppressed
,"Tuscola County, MI","26157",Suppressed,146736,Suppressed,Suppressed,Suppressed
,"Washtenaw County, MI","26161",Suppressed,1362910,Suppressed,Suppressed,Suppressed
,"Wayne County, MI","26163",36,5513155,0.7,0.5,0.9
,"Anoka County, MN","27003",Suppressed,1152016,Suppressed,Suppressed,Suppressed
,"Beltrami County, MN","27007",Suppressed,149111,Suppressed,Suppressed,Suppressed
,"Carlton County, MN","27017",Suppressed,110395,Suppressed,Suppressed,Suppressed
,"Carver County, MN","27019",Suppressed,339248,Suppressed,Suppressed,Suppressed
,"Chippewa County, MN","27023",Suppressed,32964,Suppressed,Suppressed,Suppressed
,"Clay County, MN","27027",Suppressed,229991,Suppressed,Suppressed,Suppressed
,"Dakota County, MN","27037",Suppressed,1384080,Suppressed,Suppressed,Suppressed
,"Hennepin County, MN","27053",15,4294284,0.3,0.2,0.6
,"Isanti County, MN","27059",Suppressed,126417,Suppressed,Suppressed,Suppressed
,"Itasca County, MN","27061",Suppressed,117213,Suppressed,Suppressed,Suppressed
,"Kandiyohi County, MN","27067",Suppressed,125610,Suppressed,Suppressed,Suppressed
,"Le Sueur County, MN","27079",Suppressed,84065,Suppressed,Suppressed,Suppressed
,"Morrison County, MN","27097",Suppressed,93358,Suppressed,Suppressed,Suppressed
,"Olmsted County, MN","27109",Suppressed,517958,Suppressed,Suppressed,Suppressed
,"Pennington County, MN","27113",Suppressed,41686,Suppressed,Suppressed,Suppressed
,"Polk County, MN","27119",Suppressed,90076,Suppressed,Suppressed,Suppressed
,"Ramsey County, MN","27123",Suppressed,1830173,Suppressed,Suppressed,Suppressed
,"Redwood County, MN","27127",Suppressed,41356,Suppressed,Suppressed,Suppressed
,"Roseau County, MN","27135",Suppressed,42068,Suppressed,Suppressed,Suppressed
,"St. Louis County, MN","27137",Suppressed,620658,Suppressed,Suppressed,Suppressed
,"Scott County, MN","27139",Suppressed,496849,Suppressed,Suppressed,Suppressed
,"Stearns County, MN","27145",Suppressed,531471,Suppressed,Suppressed,Suppressed
,"Todd County, MN","27153",Suppressed,64051,Suppressed,Suppressed,Suppressed
,"Wabasha County, MN","27157",Suppressed,56410,Suppressed,Suppressed,Suppressed
,"Washington County, MN","27163",Suppressed,831098,Suppressed,Suppressed,Suppressed
,"Winona County, MN","27169",Suppressed,174407,Suppressed,Suppressed,Suppressed
,"Wright County, MN","27171",Suppressed,458463,Suppressed,Suppressed,Suppressed
,"Attala County, MS","28007",Suppressed,50926,Suppressed,Suppressed,Suppressed
,"Benton County, MS","28009",Suppressed,22784,Suppressed,Suppressed,Suppressed
,"Bolivar County, MS","28011",Suppressed,92766,Suppressed,Suppressed,Suppressed
,"Calhoun County, MS","28013",Suppressed,38477,Suppressed,Suppressed,Suppressed
,"Claiborne County, MS","28021",Suppressed,29974,Suppressed,Suppressed,Suppressed
,"Coahoma County, MS","28027",Suppressed,63465,Suppressed,Suppressed,Suppressed
,"Covington County, MS","28031",Suppressed,55074,Suppressed,Suppressed,Suppressed
,"DeSoto County, MS","28033",Suppressed,631538,Suppressed,Suppressed,Suppressed
,"Forrest County, MS","28035",Suppressed,272377,Suppressed,Suppressed,Suppressed
,"George County, MS","28039",Suppressed,77464,Suppressed,Suppressed,Suppressed
,"Grenada County, MS","28043",Suppressed,62073,Suppressed,Suppressed,Suppressed
