"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Cleveland County, AR","05025",Suppressed,21439,Suppressed,Suppressed,Suppressed
,"Columbia County, AR","05027",Suppressed,75600,Suppressed,Suppressed,Suppressed
,"Craighead County, AR","05031",Suppressed,384048,Suppressed,Suppressed,Suppressed
,"Cross County, AR","05037",Suppressed,48329,Suppressed,Suppressed,Suppressed
,"Dallas County, AR","05039",Suppressed,17155,Suppressed,Suppressed,Suppressed
,"Faulkner County, AR","05045",Suppressed,458119,Suppressed,Suppressed,Suppressed
,"Garland County, AR","05051",Suppressed,271545,Suppressed,Suppressed,Suppressed
,"Greene County, AR","05055",Suppressed,145650,Suppressed,Suppressed,Suppressed
,"Hempstead County, AR","05057",Suppressed,57157,Suppressed,Suppressed,Suppressed
,"Izard County, AR","05065",Suppressed,37429,Suppressed,Suppressed,Suppressed
,"Jefferson County, AR","05069",Suppressed,202696,Suppressed,Suppressed,Suppressed
,"Lafayette County, AR","05073",Suppressed,16461,Suppressed,Suppressed,Suppressed
,"Lawrence County, AR","05075",Suppressed,48578,Suppressed,Suppressed,Suppressed
,"Lee County, AR","05077",Suppressed,27304,Suppressed,Suppressed,Suppressed
,"Lincoln County, AR","05079",Suppressed,48112,Suppressed,Suppressed,Suppressed
,"Logan County, AR","05083",Suppressed,60143,Suppressed,Suppressed,Suppressed
,"Lonoke County, AR","05085",Suppressed,243874,Suppressed,Suppressed,Suppressed
,"Marion County, AR","05089",Suppressed,38698,Suppressed,Suppressed,Suppressed
,"Mississippi County, AR","05093",Suppressed,122789,Suppressed,Suppressed,Suppressed
,"Nevada County, AR","05099",Suppressed,22429,Suppressed,Suppressed,Suppressed
,"Ouachita County, AR","05103",Suppressed,62118,Suppressed,Suppressed,Suppressed
,"Phillips County, AR","05107",Suppressed,44167,Suppressed,Suppressed,Suppressed
,"Poinsett County, AR","05111",Suppressed,67504,Suppressed,Suppressed,Suppressed
,"Polk County, AR","05113",Suppressed,52114,Suppressed,Suppressed,Suppressed
,"Pulaski County, AR","05119",12,1274091,0.9,0.5,1.6
,"St. Francis County, AR","05123",Suppressed,76497,Suppressed,Suppressed,Suppressed
,"Saline County, AR","05125",Suppressed,387692,Suppressed,Suppressed,Suppressed
,"Scott County, AR","05127",Suppressed,27416,Suppressed,Suppressed,Suppressed
,"Sebastian County, AR","05131",Suppressed,402314,Suppressed,Suppressed,Suppressed
,"Sharp County, AR","05135",Suppressed,44779,Suppressed,Suppressed,Suppressed
,"Union County, AR","05139",Suppressed,110940,Suppressed,Suppressed,Suppressed
,"Van Buren County, AR","05141",Suppressed,40201,Suppressed,Suppressed,Suppressed
,"Washington County, AR","05143",Suppressed,924601,Suppressed,Suppressed,Suppressed
,"Alameda County, CA","06001",14,5740279,0.2,0.1,0.4
,"Butte County, CA","06007",Suppressed,715830,Suppressed,Suppressed,Suppressed
,"Calaveras County, CA","06009",Suppressed,110784,Suppressed,Suppressed,Suppressed
,"Contra Costa County, CA","06013",10,3660927,0.3,0.1,0.5
,"El Dorado County, CA","06017",Suppressed,520753,Suppressed,Suppressed,Suppressed
,"Fresno County, CA","06019",14,3417534,0.4,0.2,0.7
,"Humboldt County, CA","06023",Suppressed,450149,Suppressed,Suppressed,Suppressed
,"Imperial County, CA","06025",Suppressed,598834,Suppressed,Suppressed,Suppressed
,"Inyo County, CA","06027",Suppressed,49575,Suppressed,Suppressed,Suppressed
,"Kern County, CA","06029",10,3127466,0.3,0.2,0.6
,"Kings County, CA","06031",Suppressed,558079,Suppressed,Suppressed,Suppressed
,"Lake County, CA","06033",Suppressed,176479,Suppressed,Suppressed,Suppressed
,"Los Angeles County, CA","06037",70,33992342,0.2,0.2,0.3
,"Madera County, CA","06039",Suppressed,525439,Suppressed,Suppressed,Suppressed
,"Marin County, CA","06041",Suppressed,684673,Suppressed,Suppressed,Suppressed
,"Merced County, CA","06047",Suppressed,985476,Suppressed,Suppressed,Suppressed
,"Monterey County, CA","06053",Suppressed,1436518,Suppressed,Suppressed,Suppressed
,"Nevada County, CA","06057",Suppressed,253924,Suppressed,Suppressed,Suppressed
,"Orange County, CA","06059",18,10356512,0.2,0.1,0.3
,"Placer County, CA","06061",Suppressed,1218808,Suppressed,Suppressed,Suppressed
,"Plumas County, CA","06063",Suppressed,44455,Suppressed,Suppressed,Suppressed
,"Riverside County, CA","06065",31,8207534,0.4,0.3,0.5
,"Sacramento County, CA","06067",21,5281373,0.4,0.2,0.6
,"San Benito County, CA","06069",Suppressed,219138,Suppressed,Suppressed,Suppressed
,"San Bernardino County, CA","06071",22,7566710,0.3,0.2,0.4
,"San Diego County, CA","06073",16,11491217,0.1,0.1,0.2
,"San Francisco County, CA","06075",Suppressed,3119111,Suppressed,Suppressed,Suppressed
,"San Joaquin County, CA","06077",Suppressed,2626483,Suppressed,Suppressed,Suppressed
,"San Luis Obispo County, CA","06079",Suppressed,909976,Suppressed,Suppressed,Suppressed
,"San Mateo County, CA","06081",Suppressed,2430286,Suppressed,Suppressed,Suppressed
,"Santa Barbara County, CA","06083",Suppressed,1528967,Suppressed,Suppressed,Suppressed
,"Santa Clara County, CA","06085",10,6624206,0.2,0.1,0.3
,"Shasta County, CA","06089",Suppressed,523285,Suppressed,Suppressed,Suppressed
,"Solano County, CA","06095",Suppressed,1438306,Suppressed,Suppressed,Suppressed
,"Sonoma County, CA","06097",Suppressed,1469236,Suppressed,Suppressed,Suppressed
,"Stanislaus County, CA","06099",Suppressed,1833950,Suppressed,Suppressed,Suppressed
,"Tehama County, CA","06103",Suppressed,184824,Suppressed,Suppressed,Suppressed
,"Tulare County, CA","06107",Suppressed,1601830,Suppressed,Suppressed,Suppressed
,"Tuolumne County, CA","06109",Suppressed,146028,Suppressed,Suppressed,Suppressed
,"Ventura County, CA","06111",Suppressed,2661826,Suppressed,Suppressed,Suppressed
,"Yuba County, CA","06115",Suppressed,275955,Suppressed,Suppressed,Suppressed
,"Adams County, CO","08001",Suppressed,1896285,Suppressed,Suppressed,Suppressed
,"Arapahoe County, CO","08005",Suppressed,2268009,Suppressed,Suppressed,Suppressed
,"Archuleta County, CO","08007",Suppressed,33828,Suppressed,Suppressed,Suppressed
,"Boulder County, CO","08013",Suppressed,1175342,Suppressed,Suppressed,Suppressed
,"Costilla County, CO","08023",Suppressed,9106,Suppressed,Suppressed,Suppressed
,"Denver County, CO","08031",Suppressed,2888618,Suppressed,Suppressed,Suppressed
,"Douglas County, CO","08035",Suppressed,1211903,Suppressed,Suppressed,Suppressed
,"El Paso County, CO","08041",12,2568303,0.5,0.2,0.8
,"Gunnison County, CO","08051",Suppressed,66438,Suppressed,Suppressed,Suppressed
,"Jefferson County, CO","08059",Suppressed,1918103,Suppressed,Suppressed,Suppressed
,"Larimer County, CO","08069",Suppressed,1292036,Suppressed,Suppressed,Suppressed
,"Las Animas County, CO","08071",Suppressed,39854,Suppressed,Suppressed,Suppressed
,"Mesa County, CO","08077",Suppressed,481678,Suppressed,Suppressed,Suppressed
,"Montezuma County, CO","08083",Suppressed,71096,Suppressed,Suppressed,Suppressed
,"Morgan County, CO","08087",Suppressed,91442,Suppressed,Suppressed,Suppressed
,"Otero County, CO","08089",Suppressed,53428,Suppressed,Suppressed,Suppressed
,"Pueblo County, CO","08101",Suppressed,521526,Suppressed,Suppressed,Suppressed
,"Saguache County, CO","08109",Suppressed,16785,Suppressed,Suppressed,Suppressed
,"Summit County, CO","08117",Suppressed,109744,Suppressed,Suppressed,Suppressed
,"Teller County, CO","08119",Suppressed,61840,Suppressed,Suppressed,Suppressed
,"Washington County, CO","08121",Suppressed,13718,Suppressed,Suppressed,Suppressed
,"Weld County, CO","08123",Suppressed,1177548,Suppressed,Suppressed,Suppressed
,"Fairfield County, CT","09001",Suppressed,Not Available,Suppressed,Suppressed,Suppressed
,"Hartford County, CT","09003",12,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005",Suppressed,Not Available,Suppressed,Suppressed,Suppressed
,"New Haven County, CT","09009",Suppressed,Not Available,Suppressed,Suppressed,Suppressed
,"New London County, CT","09011",Suppressed,Not Available,Suppressed,Suppressed,Suppressed
,"Tolland County, CT","09013",Suppressed,Not Available,Suppressed,Suppressed,Suppressed
,"Kent County, DE","10001",Suppressed,576951,Suppressed,Suppressed,Suppressed
,"New Castle County, DE","10003",Suppressed,1833286,Suppressed,Suppressed,Suppressed
,"Sussex County, DE","10005",Suppressed,577624,Suppressed,Suppressed,Suppressed
,"District of Columbia, DC","11001",16,2736943,0.6,0.3,0.9
,"Alachua County, FL","12001",Suppressed,1071709,Suppressed,Suppressed,Suppressed
,"Baker County, FL","12003",Suppressed,93764,Suppressed,Suppressed,Suppressed
,"Bay County, FL","12005",Suppressed,555897,Suppressed,Suppressed,Suppressed
,"Brevard County, FL","12009",17,1678771,1.0,0.6,1.6
,"Broward County, FL","12011",35,6129332,0.6,0.4,0.8
,"Calhoun County, FL","12013",Suppressed,43236,Suppressed,Suppressed,Suppressed
,"Citrus County, FL","12017",Suppressed,328755,Suppressed,Suppressed,Suppressed
,"Clay County, FL","12019",Suppressed,696589,Suppressed,Suppressed,Suppressed
,"Collier County, FL","12021",Suppressed,924177,Suppressed,Suppressed,Suppressed
,"DeSoto County, FL","12027",Suppressed,112800,Suppressed,Suppressed,Suppressed
,"Duval County, FL","12031",30,3318935,0.9,0.6,1.3
,"Escambia County, FL","12033",11,1042898,1.1,0.5,1.9
,"Flagler County, FL","12035",Suppressed,288333,Suppressed,Suppressed,Suppressed
,"Gadsden County, FL","12039",Suppressed,130688,Suppressed,Suppressed,Suppressed
,"Hernando County, FL","12053",Suppressed,533333,Suppressed,Suppressed,Suppressed
,"Hillsborough County, FL","12057",22,5092867,0.4,0.3,0.7
,"Holmes County, FL","12059",Suppressed,59096,Suppressed,Suppressed,Suppressed
,"Indian River County, FL","12061",Suppressed,366326,Suppressed,Suppressed,Suppressed
,"Lake County, FL","12069",Suppressed,1055836,Suppressed,Suppressed,Suppressed
,"Lee County, FL","12071",Suppressed,2069838,Suppressed,Suppressed,Suppressed
,"Leon County, FL","12073",13,1135395,1.1,0.6,2.0
,"Madison County, FL","12079",Suppressed,54759,Suppressed,Suppressed,Suppressed
,"Manatee County, FL","12081",Suppressed,1065312,Suppressed,Suppressed,Suppressed
,"Marion County, FL","12083",Suppressed,990934,Suppressed,Suppressed,Suppressed
,"Miami-Dade County, FL","12086",37,8817345,0.4,0.3,0.6
,"Nassau County, FL","12089",Suppressed,255406,Suppressed,Suppressed,Suppressed
,"Okaloosa County, FL","12091",Suppressed,692139,Suppressed,Suppressed,Suppressed
,"Okeechobee County, FL","12093",Suppressed,124024,Suppressed,Suppressed,Suppressed
,"Orange County, FL","12095",16,5185060,0.3,0.2,0.5
,"Osceola County, FL","12097",Suppressed,1417107,Suppressed,Suppressed,Suppressed
,"Palm Beach County, FL","12099",26,4255822,0.6,0.4,0.9
,"Pasco County, FL","12101",12,1712135,0.7,0.4,1.2
,"Pinellas County, FL","12103",Suppressed,2605749,Suppressed,Suppressed,Suppressed
,"Polk County, FL","12105",14,2386299,0.6,0.3,1.0
,"Putnam County, FL","12107",Suppressed,197187,Suppressed,Suppressed,Suppressed
,"St. Johns County, FL","12109",Suppressed,834525,Suppressed,Suppressed,Suppressed
,"St. Lucie County, FL","12111",Suppressed,963789,Suppressed,Suppressed,Suppressed
,"Santa Rosa County, FL","12113",Suppressed,610385,Suppressed,Suppressed,Suppressed
,"Seminole County, FL","12117",Suppressed,1583403,Suppressed,Suppressed,Suppressed
,"Sumter County, FL","12119",Suppressed,186570,Suppressed,Suppressed,Suppressed
,"Taylor County, FL","12123",Suppressed,63942,Suppressed,Suppressed,Suppressed
,"Volusia County, FL","12127",Suppressed,1565216,Suppressed,Suppressed,Suppressed
,"Walton County, FL","12131",Suppressed,224965,Suppressed,Suppressed,Suppressed
,"Washington County, FL","12133",Suppressed,80727,Suppressed,Suppressed,Suppressed
,"Appling County, GA","13001",Suppressed,54570,Suppressed,Suppressed,Suppressed
,"Atkinson County, GA","13003",Suppressed,26614,Suppressed,Suppressed,Suppressed
,"Bacon County, GA","13005",Suppressed,34464,Suppressed,Suppressed,Suppressed
,"Baldwin County, GA","13009",Suppressed,152936,Suppressed,Suppressed,Suppressed
,"Bartow County, GA","13015",Suppressed,357369,Suppressed,Suppressed,Suppressed
,"Bibb County, GA","13021",Suppressed,493790,Suppressed,Suppressed,Suppressed
,"Brantley County, GA","13025",Suppressed,55600,Suppressed,Suppressed,Suppressed
,"Burke County, GA","13033",Suppressed,69754,Suppressed,Suppressed,Suppressed
,"Butts County, GA","13035",Suppressed,86260,Suppressed,Suppressed,Suppressed
,"Camden County, GA","13039",Suppressed,188643,Suppressed,Suppressed,Suppressed
,"Carroll County, GA","13045",Suppressed,420045,Suppressed,Suppressed,Suppressed
,"Catoosa County, GA","13047",Suppressed,208230,Suppressed,Suppressed,Suppressed
,"Chatham County, GA","13051",12,1006088,1.2,0.6,2.1
,"Chattahoochee County, GA","13053",Suppressed,45606,Suppressed,Suppressed,Suppressed
,"Cherokee County, GA","13057",Suppressed,871706,Suppressed,Suppressed,Suppressed
