"Notes","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01",129,17846189,0.7,0.6,0.8
,"Alaska","02",17,2779769,0.6,0.4,1.0
,"Arizona","04",149,26505366,0.6,0.5,0.7
,"Arkansas","05",85,10817803,0.8,0.6,1.0
,"California","06",326,149461853,0.2,0.2,0.2
,"Colorado","08",67,22526849,0.3,0.2,0.4
,"Connecticut","09",37,12900066,0.3,0.2,0.4
,"Delaware","10",Suppressed,3420621,Suppressed,Suppressed,Suppressed
,"District of Columbia","11",16,2984242,0.5,0.3,0.9
,"Florida","12",343,76014022,0.5,0.4,0.5
,"Georgia","13",255,40790251,0.6,0.5,0.7
,"Hawaii","15",18,5010711,0.4,0.2,0.6
,"Idaho","16",27,6763695,0.4,0.3,0.6
,"Illinois","17",164,46417206,0.4,0.3,0.4
,"Indiana","18",161,24577553,0.7,0.6,0.8
,"Iowa","19",48,11250071,0.4,0.3,0.6
,"Kansas","20",49,10513330,0.5,0.3,0.6
,"Kentucky","21",115,16129422,0.7,0.6,0.8
,"Louisiana","22",145,16608075,0.9,0.7,1.0
,"Maine","23",10,4591113,0.2,0.1,0.4
,"Maryland","24",94,22277589,0.4,0.3,0.5
,"Massachusetts","25",72,25832527,0.3,0.2,0.4
,"Michigan","26",130,35483301,0.4,0.3,0.4
,"Minnesota","27",57,20350154,0.3,0.2,0.4
,"Mississippi","28",88,10603424,0.8,0.7,1.0
,"Missouri","29",118,21913762,0.5,0.4,0.6
,"Montana","30",21,3815791,0.6,0.3,0.8
,"Nebraska","31",40,7004696,0.6,0.4,0.8
,"Nevada","32",46,11631828,0.4,0.3,0.5
,"New Hampshire","33",13,4830927,0.3,0.1,0.5
,"New Jersey","34",170,32920998,0.5,0.4,0.6
,"New Mexico","35",36,7469932,0.5,0.3,0.7
,"New York","36",319,71457669,0.4,0.4,0.5
,"North Carolina","37",210,38917042,0.5,0.5,0.6
,"North Dakota","38",15,2825099,0.5,0.3,0.9
,"Ohio","39",208,41589711,0.5,0.4,0.6
,"Oklahoma","40",94,14532952,0.6,0.5,0.8
,"Oregon","41",48,15504906,0.3,0.2,0.4
,"Pennsylvania","42",147,45342245,0.3,0.3,0.4
,"Rhode Island","44",15,3947683,0.4,0.2,0.6
